2026-05-10 19:03:18 [INFO] 日志文件：C:\AI\data_cleaning\log\clean_20260510_190318.log
2026-05-10 19:03:18 [INFO] Agent 模式提交文件：问题排查登记表 (2).xlsx
2026-05-10 19:03:19 [INFO] Agent 任务已提交：c7cd031c-f365-481f-9173-096bc393417b07
2026-05-10 19:03:19 [INFO] 上传文件：问题排查登记表 (2).xlsx
2026-05-10 19:03:19 [INFO] 文件上传成功：问题排查登记表 (2).xlsx
2026-05-10 19:03:19 [INFO] Agent 任务 c7cd031c-f365-481f-9173-096bc393417b07 已提交，开始轮询状态...
2026-05-10 19:03:20 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:03:26 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:03:31 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:03:36 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:03:42 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:03:47 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:03:53 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:03:58 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:03 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:09 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:14 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:20 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:25 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:30 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:36 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:41 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:46 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:52 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:04:57 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:02 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:08 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:13 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:19 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:24 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:29 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:35 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:40 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:45 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:51 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:05:56 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:01 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:07 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:12 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:17 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:23 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:28 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:33 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:39 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:44 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:49 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:06:55 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:00 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:05 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:11 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:16 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:22 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:27 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:32 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:38 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:43 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:48 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:54 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:07:59 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:04 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:10 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:15 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:21 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:26 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:31 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:37 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:42 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:47 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:53 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:08:58 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:03 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:09 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:14 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:20 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:25 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:30 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:36 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:41 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:46 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:52 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:09:57 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:02 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:08 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:13 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:18 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:24 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:29 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:34 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:40 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:45 [WARNING] 查询 Agent 任务状态失败：404
2026-05-10 19:10:51 [WARNING] 查询 Agent 任务状态失败：404
